bodyparts,beak,beak,beak,tail,tail,tail,left_wing,left_wing,left_wing,right_wing,right_wing,right_wing,head,head,head,back,back,back
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,939.0259,317.5703,0.5463867,1024.1367,330.15137,0.7939453,970.1426,331.3672,0.93115234,970.8164,287.85547,0.80859375,960.47266,302.04492,0.6455078,980.3867,309.19043,0.94091797
1,939.1421,320.20703,0.50927734,1024.4062,330.15137,0.79248047,970.6338,331.4453,0.95458984,970.8164,288.0078,0.83447266,960.47266,302.04492,0.609375,980.3867,309.19043,0.94189453
2,939.2124,320.3203,0.4868164,1024.4062,330.15137,0.7182617,971.29004,331.4453,0.9511719,970.8164,288.36523,0.81933594,960.6426,302.04492,0.6113281,980.3867,309.19043,0.9169922
3,939.2124,320.3203,0.45385742,1024.2344,325.14062,0.77490234,972.7085,331.3672,0.98095703,968.7461,288.36523,0.7836914,960.6426,301.77734,0.59765625,979.81665,308.385,0.85839844
4,939.1421,320.20703,0.39404297,1024.1367,321.1836,0.77978516,972.9287,330.34375,0.93408203,967.0156,288.36523,0.7265625,961.4785,301.14453,0.61572266,979.75745,307.62646,0.85058594
5,939.1421,316.41406,0.4074707,1024.0781,319.3672,0.6855469,972.9287,328.8828,0.92089844,964.51953,287.95703,0.68652344,961.4785,299.64062,0.5961914,978.5176,306.36328,0.8120117
6,937.541,313.59375,0.39038086,1023.27734,318.08594,0.63964844,972.9287,327.95312,0.9057617,964.40625,286.3047,0.6767578,961.4785,299.19434,0.65478516,978.05566,304.74023,0.77734375
7,933.8828,312.86328,0.43237305,1022.38477,316.0552,0.65771484,972.5879,327.56055,0.91796875,961.5879,284.3479,0.67578125,958.26953,298.83008,0.6254883,976.33203,304.71094,0.75097656
8,929.74414,312.60156,0.4621582,1019.9513,314.76367,0.62353516,969.7539,327.56055,0.9355469,960.3496,283.19385,0.71240234,956.02344,298.5244,0.60791016,972.8823,303.15234,0.7573242
9,928.8086,307.9922,0.51464844,1015.9414,313.75586,0.49926758,969.7539,327.8125,0.9609375,960.2715,282.40527,0.6953125,951.47266,297.50977,0.6118164,972.1193,302.875,0.6748047
